Date,Game,5 Minute Goal Odds,5 Minute No Goal Odds,10 Minute Goal Odds,10 minute No Goal Odds,5MG Y/N,10MG Y/N,Over/Under,Over Odds,Under Odds,Final Total,Total Goals in Period 1,Avg Goals/Game (Optional),Special Notes
1/25/2025,Penguin vs Kraken,188,-250,-140,110,No,No,5.5,-122,100,5,0,,Fanduel
1/25/2025,Sabres vs Oilers,160,-210,-168,132,No,No,6.5,-115,-105,5,2,,
1/25/2025,Maple leafs vs Senators,180,-235,-138,108,Yes,Yes,5.5,-118,-104,3,2,,
1/25/2025,Stars vs Blues,182,-240,-140,110,No,Yes,5.5,-120,-102,2,2,,
1/27/2025,Sharks vs Penguins,160,-210,-168,132,No,No,6.5,-108,-112,3,0,,
2/22/2025,Wild vs Red Wings,,,,,No,Yes,5.5,-114,-106,7,1,,
2/22/2025,Oilers vs Flyers,,,,,Yes,Yes,6,-113,-130,9,3,,
2/22/2025,Capitals vs Penguins,186,-240,-140,110,No,Yes,5.5,-120,-102,11,2,,
2/22/2025,Rangers vs Sabres,164,-215,-160,126,Yes,Yes,6.5,-104,-118,10,5,,
2/22/2025,Avalanche vs Predators,164,-215,-158,124,No,Yes,6.5,102,-124,3,1,,
2/22/2025,Stars vs Devils,184,-240,-136,108,Yes,Yes,5.5,-115,-105,6,2,,
2/22/2025,Kraken vs Panthers,190,-260,-136,108,No,Yes,5.5,-122,100,3,1,,
2/22/2025,Hurricanes vs Maple Leafs,180,-235,-146,114,Yes,Yes,5.5,-124,102,9,4,,
2/22/2025,Canadiens vs Senators,176,-230,-140,110,Yes,Yes,5.5,-120,-102,7,5,,
2/22/2025,Jets vs Blues,178,-230,-146,114,Yes,Yes,5.5,-134,110,7,2,,
2/22/2025,Blackhawks vs Blue Jackets,174,-225,-150,118,Yes,Yes,6.5,112,-138,6,1,,
2/22/2025,Ducks vs Bruins,192,-260,-130,102,No,No,5.5,-115,-105,5,2,,
2/22/2025,Utah vs Kings,200,-270,-126,-102,No,Yes,5.5,100,-124,8,2,,
2/22/2025,Canucks vs Golden Knights,198,-260,-130,102,No,No,5.5,100,-122,4,0,,
2/26/2025,Jets vs Senators,186,-250,-136,108,No,Yes,5.5,100,-122,5,2,,
2/26/2025,Devils vs Avalanche,168,-220,-152,120,No,Yes,5.5,-124,102,6,1,,
2/26/2025,Canucks vs Kings,186,-240,-140,110,No,Yes,5.5,110,-134,5,1,,
3/1/2025,Bruins vs Penguins,158,-205,-168,132,Yes,Yes,6.5,-105,-115,5,2,,
3/1/2025,Red Wings vs Blue Jackets,152,-196,-176,138,No,No,6.5,-105,-115,8,0,,
3/1/2025,Oilers vs Hurricanes,148,-190,-180,140,No,Yes,6.5,-120,-102,4,1,,
3/1/2025,Flyers vs Jets,180,-235,-142,112,Yes,No,5.5,100,-122,3,1,,
3/1/2025,Sharks vs Senators,160,-210,-160,126,No,No,5.5,-134,-110,8,1,,
3/1/2025,Canadiens vs Sabres,162,-215,-160,126,No,No,6.5,104,-128,6,0,,
3/1/2025,Kings vs Blues,182,-240,-140,110,Yes,Yes,5.5,106,-130,5,3,,
3/1/2025,Devils vs Utah,170,-220,-152,120,No,Yes,5.5,-128,104,4,1,,
3/1/2025,Blackhawks vs Ducks,168,-215,-158,124,No,No,5.5,-130,106,9,0,,
3/1/2025,Canucks vs Kraken,180,-235,-148,116,No,Yes,5.5,100,-122,9,3,,
